Problem; NQUEENS; method; FORWARDCHECKING; size; 2; no_of_solutions; 0; total_time(ms); 0,000; first_solution_time(ms); 0,000; no_of_recursive_calls; 1
Problem; NQUEENS; method; FORWARDCHECKING; size; 3; no_of_solutions; 0; total_time(ms); 0,000; first_solution_time(ms); 0,000; no_of_recursive_calls; 3
Problem; NQUEENS; method; FORWARDCHECKING; size; 4; no_of_solutions; 2; total_time(ms); 0,051; first_solution_time(ms); 0,020; no_of_recursive_calls; 11
Problem; NQUEENS; method; FORWARDCHECKING; size; 5; no_of_solutions; 10; total_time(ms); 0,074; first_solution_time(ms); 0,015; no_of_recursive_calls; 40
Problem; NQUEENS; method; FORWARDCHECKING; size; 6; no_of_solutions; 4; total_time(ms); 0,150; first_solution_time(ms); 0,036; no_of_recursive_calls; 83
Problem; NQUEENS; method; FORWARDCHECKING; size; 7; no_of_solutions; 40; total_time(ms); 0,435; first_solution_time(ms); 0,020; no_of_recursive_calls; 294
Problem; NQUEENS; method; FORWARDCHECKING; size; 8; no_of_solutions; 92; total_time(ms); 1,237; first_solution_time(ms); 0,100; no_of_recursive_calls; 1073
Problem; NQUEENS; method; FORWARDCHECKING; size; 9; no_of_solutions; 352; total_time(ms); 2,468; first_solution_time(ms); 0,049; no_of_recursive_calls; 4368
Problem; NQUEENS; method; FORWARDCHECKING; size; 10; no_of_solutions; 724; total_time(ms); 6,160; first_solution_time(ms); 0,112; no_of_recursive_calls; 16765
Problem; NQUEENS; method; FORWARDCHECKING; size; 11; no_of_solutions; 2680; total_time(ms); 21,143; first_solution_time(ms); 0,063; no_of_recursive_calls; 76074
Problem; NQUEENS; method; FORWARDCHECKING; size; 12; no_of_solutions; 14200; total_time(ms); 90,415; first_solution_time(ms); 0,275; no_of_recursive_calls; 383107
Problem; NQUEENS; method; FORWARDCHECKING; size; 13; no_of_solutions; 73712; total_time(ms); 461,821; first_solution_time(ms); 0,149; no_of_recursive_calls; 2066270
Problem; NQUEENS; method; FORWARDCHECKING; size; 14; no_of_solutions; 365596; total_time(ms); 2688,816; first_solution_time(ms); 1,447; no_of_recursive_calls; 11812473
Problem; NQUEENS; method; FORWARDCHECKING; size; 15; no_of_solutions; 2279184; total_time(ms); 17076,786; first_solution_time(ms); 1,265; no_of_recursive_calls; 72646198
